Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry Vertical,City / Location,Investors’ Name,InvestmentType,Amount (in USD),Remarks
1,01/08/2015,Snapdeal,Ecommerce Marketplace,New Delhi,"Alibaba, Foxconn, Softbank",Private Equity,"500,000,000",Late Stage Round 7th (More details)
2,01/08/2015,Ressy,Restaurant Discount app,Pune,Mohandas Pai & others,Seed Funding,"400,000",
3,03/08/2015,Cuelearn,Tech-enabled learning,New Delhi,Alok Mittal,Seed Funding,N/A,
4,03/08/2015,Connect India,ECommerce Logistics provider,New Delhi,Aavishkaar,Private Equity,"5,000,000",Series A
5,03/08/2015,The Home Salon,on-demand home beauty and wellness portal,Mumbai,VentureNursery,Seed Funding,N/A,
6,03/08/2015,Jusride,Self Driven Car rental,Mumbai,"Alok Mittal, Zeeshan Hayat, Niraj Singh, Nikunj Jain, Anirudh Damani, Punit Goyal",Seed Funding,N/A,
7,03/08/2015,Oyorooms,Budget Hotel accommodation brand,New Delhi,"SoftBank Group, Greenoaks Capital, Sequoia Capital,  Lightspeed India",Private Equity,"100,000,000",Series B
8,03/08/2015,Glowship,Energy & Environment Online Marketplace,Bangalore,Infuse Ventures,Seed Funding,N/A,
9,03/08/2015,Wizrocket,User Engagment & Analytics platform,Mumbai,"Sequoia Capital, Accel Partners",Private Equity,"9,600,000",Series B
10,04/08/2015,Pickingo,On-Demand Delivery Logistics,New Delhi,"Orios Venture Partners, Zishaan Hayath",Private Equity,"1,300,000",Series A
11,05/08/2015,Grex,fund raising platform for startups,Pune,"Kunal Bajaj, Chandru Badrinarayanan",Seed Funding,"650,000",
12,05/08/2015,LetsTransport,Logistics Tech Platform,Bangalore,"Rebright Partners, Ankush Nijhawan, Gaurav Bhatnagar, Manish Dhingra",Seed Funding,"1,300,000",
13,05/08/2015,Zo Rooms,Online budget hotel chain,New Delhi,"Tiger Global Management, Orios Venture Partners",Private Equity,"30,000,000",Series A
14,05/08/2015,Doormint,Hyperlocal Handyman services,Mumbai,"Helion Venture Partners, Kalaari Capital",Private Equity,"3,000,000",Series A
15,05/08/2015,NightStay,hotel booking app,Noida,"BedRock Ventures, Rajesh Sawhney, Shailesh Singh",Seed Funding,"500,000",
16,05/08/2015,Zocalo,Rental Accomodation finder,New Delhi,"Sachin Bhatia, Rajesh Sawhney",Seed Funding,N/A,
17,05/08/2015,Sunday Realty Solutions,Tech Platform for property brokers,Mumbai,"Ramesh Jogani, Shailesh Viswanathan, Jay Srinivasan",Seed Funding,"785,000",
18,06/08/2015,Klozee,Luxury Apparel rental,Bangalore,Tracxn Labs,Seed Funding,N/A,
19,06/08/2015,Appvigil,App security  testing platform,Mumbai,"Ravi Gururaj, Gaurav Sharma, Viswanath Ramachandran, RippleWave",Seed Funding,"500,000",pre Series-A
20,06/08/2015,practo,Doctor Appointment booking app,Bangalore,"Sofina, Google Capital, Altimeter Capital, Sequoia Capital Global Equities, Yuri Milner, Sequoia Capital, Matrix Partners",Private Equity,"90,000,000",Series C
21,06/08/2015,LoudShout,anonymous bulletin board app,New Delhi,"Sanjay Sethi, Ravi Jaipuria & others",Seed Funding,N/A,
22,06/08/2015,Wetravelsolo,Travel community platform,New Delhi,"CCube Angels, Frontline Strategy",Seed Funding,N/A,
23,06/08/2015,Ketto,Crowd funding platform,Mumbai,"Chennai Angels, Calcutta Angels, ah! Ventures, Intellecap Impact Investment Network, Indus Age Partners, Singapore Angel Network, India Internet Fund, LetsVenture",Seed Funding,"700,000",
23,06/08/2015,Ezetap,Mobile based PoS solution,Bangalore,"Horizons Ventures, Capricorn Investment Group, Social+Capital, Helion Advisors, Berggruen Holdings",Private Equity,"25,000,000",Series C
24,06/08/2015,NDTV ecommerce venture,Car & Bike ecommerce platform,Mumbai,"Inflexionpoint, Pramod Bhasin, Sixth Sense Ventures, Vindi Banga, Hiro Mashita",Private Equity,N/A,Series A
25,07/08/2015,Carl’s Jr,Fast food Chain Franchisee,Gurgaon,YouWeCan Ventures,Seed Funding,"630,000",
26,07/08/2015,EasyRewardz,Loyalty Programs & Reward Points,Mumbai,"Wealth First, Ashneer Grover, Atul Phadnis",Private Equity,"500,000",Pre-Series A
27,07/08/2015,GIBSS,Energy saving solutions provider,Mumbai,"responsAbility Investments, Infuse Ventures",Private Equity,N/A,Series A
28,07/08/2015,StoreMore.in,Self-Storage Spaces,Noida,Bedrock Ventures,Seed Funding,N/A,
29,07/08/2015,iOrderFresh,Grocery retail Mobile app,New Delhi,Best Foodworks,Seed Funding,N/A,
30,10/08/2015,MyTaxiIndia,Taxi Rental platform,Gurgaon,"Nihon Kotsu,",Private Equity,"500,000",Pre Series-A
31,10/08/2015,eSadar,ecommerce,New Delhi,"Neha Vats, Gaurav Vats",Seed Funding,"80,000",
32,10/08/2015,Actionable Analytics,Machine Learning Platform,New Delhi/ Houston,"B M Gupta, Vinod Singhal",Seed Funding,N/A,
33,10/08/2015,MyPoolin,mobile social network,New Delhi,QPrize from Qualcomm Ventures,Seed Funding,"250,000",QPrize Contest Winners
34,10/08/2015,NearBuy(previously  groupon India),Hyper-Local Ecommerce,New Delhi,Sequoia Capital,Private Equity,"16,000,000",Series A
35,10/08/2015,Inkmonk,Online printing marketplace,Chennai,"Girish Mathrubootham, Phanindra Sama, Vikram Chachra, Others from LetsVenture",Seed Funding,"250,000",
36,10/08/2015,ToneTag,mobile payment software platform,Bangalore,Reliance Capital Venture,Private Equity,"1,000,000",Series A
37,10/08/2015,Grey Orange,Automated Storage & Warehousing Solution,Gurgaon,Tiger Global Management,Private Equity,"30,000,000",Series B
38,11/08/2015,Livspace,Home Design & Décor solutions,Bangalore,"Helion Ventures, Jungle Ventures & Bessemer Venture Partners",Private Equity,"8,000,000",Series A
39,11/08/2015,WOW! MOMO,Quick Service Restaurant Chain,Kolkata,Indian Angel Network,Seed Funding,"1,600,000",
40,11/08/2015,RainCan,Subscription based Online Grocery platform,Pune,Ajeet Khurana & Others,Seed Funding,"100,000",
41,11/08/2015,Allygrow Technologies,engineering services company,Mumbai,Zodius Technology Fund,Private Equity,"20,000,000",Series A
42,11/08/2015,Infogain,Business and IT consulting,New Delhi / US,ChrysCapital,Private Equity,"63,000,000",N/A
