Sr. No.,Date(dd/mm/yyyy),Startup Name,Industry Vertical,City / Location,Investors’ Name,InvestmentType,Amount (in USD),Remarks
1,01/12/2015,CollegeDekho,Online Education Information platform,Jaipur,GirnarSoft,Seed Funding,"1,000,000",
2,01/12/2015,Black White Orange Brands,Brand Licensing Startup,Mumbai,YouWeCan Ventures,Seed Funding,N/A,
3,01/12/2015,Biteclub,Gourmet Food Discovery & Delivery platform,Gurgaon,growX ventures,Private Equity,N/A,Pre-Series A
4,01/12/2015,Patel Logistics,Transportation & Logistics Platform,Mumbai,Frontline Strategy,Private Equity,"5,600,000",N/A
5,01/12/2015,Wigzo,Enterprise Marketing Automation platform,New Delhi,"Aarin Capital Partners, TV Mohandas Pai",Seed Funding,"500,000",Pre-Series A
6,01/12/2015,Zapluk,"Health, Wellness & Beauty Services App",Hyderabad,N/A,Seed Funding,N/A,
7,01/12/2015,Godof Hospitals,Digital Healthcare,New Delhi,Pankaj Gupta,Seed Funding,"2,000,000",
8,02/12/2015,RoomsTonite,Last Minute Hotel Booking App,Bangalore,"Lashit Sanghvi, Nikhil Vora, Venkat Vardhan,Mohammed Bin Abdul Rehman Al Khalifa,  Ralph Berezan, Vissal Mathew,  Balamurali Krishna",Seed Funding,"1,500,000",
9,02/12/2015,Kaaryah,Womens Fashion Wear Portal,New Delhi,"The Saha Fund, TV Mohandas Pai",Private Equity,N/A,Pre-Series A
10,03/12/2015,Anakage,Product Learning platform,Bangalore,CIO Angel Network (CAN),Seed Funding,N/A,
11,03/12/2015,EasyKhaana,Online Food ordering & Delivery platform,New Delhi,Undisclosed investors,Seed Funding,"100,000",
12,03/12/2015,Shuttl,App based Bus Pooling Services,Gurgaon,"Sequoia Capital, Times Internet Ltd & One more Fund",Private Equity,"20,000,000",Series B
13,03/12/2015,Eckovation,Social Learning Platform,New Delhi,Chandigarh Angel Network (CAN),Seed Funding,N/A,
14,03/12/2015,Fitcircle,Social Fitness platform,Mumbai,Beerud Sheth and Ravi Mantha,Seed Funding,N/A,Pre-Series A
15,04/12/2015,Applop,On Demand Mobile app developer,Kolkata,GHV Accelerator,Seed Funding,"100,000",
16,04/12/2015,CaRPM,Car Maintenance & Management mobile app,Gurgaon,GHV Accelerator,Seed Funding,"100,000",
17,04/12/2015,NDTV Wedding portal,Online Wedding Marketplace,New Delhi,CerraCap,Private Equity,"20,000,000",Series A
18,04/12/2015,Splitkart,Splitting Bills Mobile App,New Delhi,"Rajesh Sawhney, Anupam Mittal, Dinesh Agarwal, Gaurav Gupta,",Seed Funding,N/A,
19,07/12/2015,Zenatix,IOT Energy Management Analytics platform,Gurgaon,Blume Ventures,Private Equity,N/A,Pre-Series A
