,0,1,2,3,4,5,6,7,8
23,Illumnus,,,Edtech,Offers Collaborative learning management system for educational institutions,"Akash Deep Singhal, Akshaya Singhal",Angel investors. HNI,"$100,000",Seed Round
24,LetsTransport,2015,Bangalore,Logitech,Offers techno logistics solutions,"Pushkar Singh, Sudarshan Ravi, Ankit Parasher",Innoven Capital,"$1,715,000",
25,Eggoz,2017,Bihar,Agritech,"Provides technology backed, deep integration services to egg farmers",Uttam Kumar,"Tracxn Labs, Angellist, Tri-Deep Capital","$329,000",Seed Round
26,Winuall,2018,Bangalore,Edtech,It helps coaching institutes in digitization,Ashwini Purohit,"Ankit Bhati, Nitin Gupta",Undisclosed,
27,Indian School Finance Company,,Hyderabad,Fintech,NBFC that provides funding to education system,,Gray Matters Capital,"$5,271,000",Seed Round
28,Juicy Chemistry,2014,,,It focuses on organic based skincare products,Pritesh Asher,Akya Ventures,"$650,000",Series A
29,DeepTek,2018,Pune,Healthtech,AI enabled radiology platform,"Amit Kharat, Ajit Patil, Aniruddha Pant",GHV Accelerator,Undisclosed,
30,Stepathlon Lifestyle,2012,Mumbai,Fitness,It organises corporate wellness programs,"Krishnan, Shane Bilsborough","Josh Liberman, Mark Adams",Undisclosed,
31,Sindhuja Microcredit,2018,Noida,Fintech,It provides financial services to self employed women entrepreneurs,"Abhisheka Kumar, Malkit Didyala",Nordic Microfinance Initiative,"$8,700,000",
32,Rentmojo,2012,Bangalore,Rental,"Rental platform for furniture, appliances & electronics",Geetansh Bamania,"Chiratae Ventures, Accel Partners, BCIP Venture Associates, Bain Capital, Renaud Laplanche","$3,226,000",
