Company/Brand,HeadQuarter,Sector,What it does,Investor,Amount($),Stage,Year
Haqdarshak,Jaipur,Finance,Haqdarshak is a tech platform that connects citizens with their eligible welfare schemes.,"Manish Subramaniam, Upaya Social Ventures",800000.0,Pre-series A,2021
Locobuzz,Mumbai,Analytics,LocoBuzz is an analytics-based integrated marketing platform.,Yuj Ventures,4000000.0,Series A,2021
Pixxel,Bengaluru,SpaceTech,Pixxel is a Bengaluru-based space technology startup building a constellation of advanced earth imaging small satellites.,"Techstars, Ryan Johnson",7300000.0,Seed,2021
Power Gummies,Delhi,Nutrition,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,"Venture Catalysts, 9unicorns",1000000.0,Seed,2021
Nazara Technologies,Mumbai,Gaming,"Nazara Technologies develops mobile content such as games, themes, wallpapers, and multimedia.","Hornbill Capital Advisers, Plutus Wealth Management",30000000.0,Seed,2021
PazCare,Bengaluru,Insuretech,Paz Care is India's leading Employee Benefits & Health insurance platform,"Ashish Hemrajani, Parikshit Dar",3500000.0,Seed,2021
Upside AI,Mumbai,FinTech,Upside AI on the thesis that technology will make better investing decisions than humans over the long term.,Endiya Partners,1200000.0,Seed,2021
Superplum,Noida,AgriTech,Building India's most sophisticated platform for high quality fresh food,Marquee investors,3800000.0,Pre-series A,2021
Kutumb,Bengaluru,Community platform,Kutumb is a social community enabler.,"Tiger Global Management, DST Global",26000000.0,Series A,2021
saarthi.ai,Bengaluru,AI startup,Multilingual Conversational Enterprise AI Platform for omnichannel automation of customer journeys in the user's native language.,Nvidia Inception,3500000.0,Seed,2021
RenewBuy,Gurugram,Insuretech,Simplest way to renew car insurance. Get quote and insure car in couple of minutes,"Lok Capital, IIFL Asset Management",45000000.0,Series C,2021
Answer Genomics,Bengaluru,HealthCare,A healthcare company that uses genome-based data to help individuals make decisions.,"India Accelerator, Lyxel&Flamingo",3500000.0,Seed,2021
MSMEx,Andheri,EdTech,MSMEx connects micro and small Business Owners with curated Business Experts over live video.,"TNF Ventures, Razorpay",1000000.0,Pre-series A,2021
Samaaro,Bengaluru,SaaS startup,"Samaaro is a virtual event platform designed to help organizations host scalable, secure, and effective virtual events for a global audience","Chaitanya Kalipatnapu, Kedar Gavane",125000.0,Seed,2021
Juicy chemistry,Coimbatore,HealthCare,Juicy Chemistry operates as an eponymous consumer brand.,Spring Marketing Capital,3500000.0,Seed,2021
Vital,Delhi,Insuretech,"An affordable, digital health plan built around to cover both big and small expenses",BLinC Invest,3000000.0,Pre-series A,2021
BrowserStack,Mumbai,SaaS startup,BrowserStack is a leading software testing platform powering over two million tests every day across 15 global data centres.,Accel,200000000.0,Series B,2021
WaterScience,Bengaluru,D2C startup,The aim of making good water affordable and accessible.,Undisclosed,3500000.0,Seed,2021
XYXX Apparels,Surat,Fashion,"XYXX Apparels,which runs an eponymous innerwear brand",Undisclosed,4000000.0,Series A,2021
Imagimake,Mumbai,Innovation management,An innovative play system to help children create their imagination,"Roha Investment Managers, angel investor Saumil Shah",500000.0,Pre-series A,2021
Skillmatics,Mumbai,EdTech,Skillmatics develops learning games for pre-school and primary school kids aged under 10,Sequoia Capital India,6000000.0,Series A,2021
Bimaplan,Bengaluru,Insuretech,Affordable insurance for the next billion Indians,"Roshan Abbas, Ritesh Malik",2500000.0,Pre-series A,2021
Bueno Finance,Gurugram,FinTech,"Bueno Gig Growth Technologies Pvt Ltd (""Bueno Finance"") is a financial services platform which aims is to help improve the financial health of customers.","Goat Capital, JAM Fund",3000000.0,Seed,2021
Synapsica,Delhi,HealthCare,Artificial Intelligence tools to make quality diagnostic assessment available for all.,"IvyCap Ventures, Endiya Partners",4000000.0,Series A,2021
Saarthi Pedagogy,Ahmadabad,EdTech,"India's fastest growing Pedagogy company, serving to school as an academic growth partner and provide 360° solutions to schools on Academic Strategies",Sushil Agarwal,3500000.0,$1000000,2021
MicroDegree,Mangalore,EdTech,MicroDegree is an ed-tech platform working towards democratising technology and job ready skills for Bharat.,Research Innovation Incubation Design Labs,3500000.0,Seed,2021
BimaPe,Mumbai,FinTech,BimaPe demystifies Insurance and its Management for individuals and families across India. 'BimaPe Bharosa Karo',"iSeed, Titan Capital",500000.0,Pre-seed,2021
MYRE Capital,Mumbai,Commercial Real Estate,Democratising Real Estate Ownership,Aryaman Vir,3500000.0,$6000000,2021
Kazam,Bengaluru,EV startup,"Kazam provides end to end Electric Vehicle charging solutions for Office Spaces, Apartments, Restaurants, Shops",Inflection Point Ventures,900000.0,Seed,2021
BigLeap,Hyderabad,Recruitment,BigLeap Technologies & Solutions is focused on providing viable offshore consultancy services for enterprises looking to grow their business.,Anup Kumar Yama,600000.0,Seed,2021
Pathfndr.io,Bengaluru,SaaS startup,Intelligent Travel Tech Stack making sense of the world's information by scanning billions of data points and ranking destinations,Arali Ventures,3500000.0,Pre-series A,2021
CoffeeMug.ai,Delhi,Networking,"A video first global platform of senior professionals, connecting 1:1, virtually or over coffee, building a powerful, long-lasting relationship.","Paradigm Shift Capital, AngelList India",620000.0,Pre-seed,2021
DigiSparsh,Mumbai,FinTech,DigiSparsh is India's first and only healthcare fintech platform which aims to make healthcare facilities accessible to everyone in the country.,GoAhead Ventures,3500000.0,Seed,2021
Anvidha Technologies,Haryana,Tech Startup,Anvidha Technologies Private Limited is a HARYANA based private ltd.,Undisclosed,1500000.0,Seed,2021
The Switch Fix,Gurugram,HealthCare,The Switch Fix is a plant-based clean and conscious personal care brand for young urbans.,"Venture Catalysts, 9unicorns",3500000.0,Seed,2021
India Quotient,Mumbai,Venture capitalist,India Quotient is a new type of early stage investor. We fund companies building disruptive businesses aimed at Indian consumers. We're,Undisclosed,64000000.0,Seed,2021
BYJU’S,Bengaluru,EdTech,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,"Blackstone Group, ADQ",50000000.0,Seed,2021
CityMall,Gurugram,E-commerce,CityMall is a social e-commerce platform that sells lifestyle and curated products via peer-to-peer referrals on WhatsApp.,"General Catalyst, Jungle Ventures",22000000.0,Series B,2021
Apna,Bengaluru,Human Resources,India's Professional App - Apna is dedicated to solving the problem of unemployment at the grassroot level,"Sequoia Capital India, rocketship.vc",70000000.0,Series B,2021
Fampay,Bengaluru,FinTech,India's first numberless card and UPI without a bank account,"Greenoaks Capital, Elevation Capital",38000000.0,Series A,2021
Flexmoney,Mumbai,FinTech,"Flexmoney’s mission is to address the enormous digital credit market opportunity created by the disruption from e-commerce, EMI and BNPL checkout finance",Pravega Ventures,4800000.0,Series A,2021
Wherehouse.io,Delhi,Logistics,"Wherehouse.io is a supply chain intelligence company, helping brands to move closer to their customers enabling faster and better deliveries and accelerating business growth.",Better Capital,3500000.0,Seed,2021
F5,Delhi,Food & Beverages,F5 is a foods and beverages company.,"Venture Catalysts, Jeevak Gupta",300000.0,Pre-series A,2021
MediBuddy,Bengaluru,Heathcare,"MediBuddy is a digital healthcare platform for inpatient hospitalization, outpatient services, and corporate wellness benefits.","Stride Ventures, InnoVen Capital",3000000.0,Seed,2021
Candes,Delhi,E-commerce,Candes is a home appliances company providing a complete range of home & kitchen electrical appliances at affordable prices.,"Nitin Passi, Ruchirans Jaipuria",3000000.0,Seed,2021
Truemeds,Mumbai,Heathcare,Truemeds is a health-tech startup.,InfoEdge,5000000.0,Series A,2021
QuickSell,Mumbai,E-commerce,B2B Mobile Commerce Platform,"Sanjay Baldwa, Ajay Jain",2000000.0,Pre-series A,2021
Cashfree,Bengaluru,FinTech,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,"State Bank of India, Y Combinator",3500000.0,Seed,2021
Swiflearn,Gurugram,EdTech,Swiflearn provides online tuition classes to small batches to ensure personalised learning.,"Venture Highway, Stellaris Venture Partners",3000000.0,Pre-series A,2021
Blaer Motors,Chennai,Mobility,Meant to augment human power and not completely replace it,The Chennai Angels,300000.0,Seed,2021
Cora Health,Bengaluru,HealthCare,Social Commerce Marketplace for health and wellness. Help people discover products suited to their health needs.,Undisclosed,3500000.0,Seed,2021
Fyllo,Bengaluru,AgriTech,Fyllo brings farms on palms by installing on field devices and actions on top of this data.,"Indian Angel Network, Titan Capital, Lead Angels",400000.0,Seed,2021
Now&Me,Delhi,HealthCare,"Now&Me is a safe cocoon in the form of discussion forums, for you to let out your most intimate thoughts.","Saama, Whiteboard Capital",1000000.0,Seed,2021
